DOY,ch4_flux,air_temperature
24.583,9.39E-03,307.988
24.604,6.38E-02,309.947
24.624,5.85E-02,309.484
24.645,3.63E-02,310.603
24.666,-7.80E-03,312.185
24.687,2.75E-02,312.248
24.708,5.74E-03,313.366
24.729,-6.05E-03,313.964
24.749,-7.39E-03,314.728
24.77,-5.75E-02,316.401
24.791,-0.149625,315.982
24.812,2.20E-03,315.187
24.833,-3.10E-02,313.839
24.854,-0.113974,311.372
24.874,-0.166181,309.054
24.895,6.53E-02,307.011
24.916,5.63E-02,306.961
24.937,-1.96E-02,307.549
24.958,-7.11E-02,308.273
24.979,8.78E-03,308.186
25,-3.50E-02,308.496
25.02,0.125674,307.668
25.041,4.07E-02,306.247
25.062,-0.23363,305.188
25.083,-1.27E-02,304.645
25.104,0.122089,304.248
25.125,-0.170448,304.174
25.145,-0.264573,304.725
25.166,3.81E-02,304.502
25.187,0.206518,305.222
25.208,6.00E-02,305.727
25.229,0.375389,304.367
25.27,-0.106805,304.413
42.02,-9.87E-03,297.369
42.041,2.52E-02,296.786
42.062,1.09E-03,295.933
42.083,2.53E-03,294.692
42.104,-8.45E-03,293.68
42.125,1.09E-03,293.782
42.145,5.09E-04,293.211
42.166,7.67E-04,292.442
42.187,1.35E-03,292.342
42.208,1.10E-04,292.762
42.229,3.31E-04,292.654
42.25,-7.54E-04,292.898
42.27,8.14E-04,293.178
42.291,-9.31E-03,295.133
42.312,1.18E-03,295.718
42.333,5.64E-03,297.003
42.354,1.14E-02,298.383
42.374,2.38E-03,299.203
42.395,-1.25E-02,300.819
42.416,4.02E-02,303.778
42.437,-3.50E-03,305.971
42.479,-0.300624,308.98
42.499,-0.295401,310.624
42.52,7.05E-02,311.038
42.541,-0.252393,310.414
42.562,0.226465,309.983
42.583,3.67E-02,310.559
42.604,-5.03E-02,310.941
42.624,7.33E-02,310.617
42.645,3.22E-02,310.126
42.666,3.05E-02,309.838
42.687,-6.64E-03,309.932
43.895,6.18E-02,297.988
43.916,-3.15E-02,298.193
43.937,-0.114411,298.133
43.958,-7.20E-02,298.044
43.979,-3.05E-02,297.904
44,5.44E-02,297.836
44.02,-1.54E-04,297.332
44.041,5.87E-02,296.93
44.062,-2.78E-02,296.739
44.083,-5.62E-04,296.641
44.104,-8.65E-03,296.463
44.125,1.13E-02,296.119
44.145,-1.58E-02,296.012
44.166,3.52E-03,296.304
44.187,5.06E-03,296.211
44.208,-1.23E-02,296.246
44.229,-4.14E-03,296.437
44.25,-1.72E-03,296.294
44.27,3.05E-03,296.303
44.291,-4.39E-03,296.34
44.312,2.27E-03,296.442
44.333,-1.56E-03,296.428
44.354,-2.95E-03,296.795
44.374,-3.07E-03,297.149
44.395,-2.77E-02,296.589
44.479,-1.64E-02,300.616
44.499,-2.18E-02,298.672
44.52,1.60E-02,298.017
44.541,8.10E-04,298.293
44.562,4.63E-02,298.752
44.583,-1.09E-02,299.075
44.604,-0.125519,299.186
44.624,-1.89E-02,299.671
44.645,5.25E-02,299.491
44.666,1.72E-02,299.604
44.687,1.70E-02,299.437
44.708,2.02E-02,299.361
44.729,-2.54E-02,299.307
44.749,1.99E-03,299.176
44.77,2.63E-02,298.674
44.791,-8.88E-03,298.267
44.812,7.08E-03,297.706
44.833,6.17E-03,297.144
44.854,-7.71E-03,296.21
44.874,-4.07E-03,295.808
44.895,-9.13E-03,295.933
44.916,5.93E-03,296.309
44.937,2.25E-02,296.403
44.958,-1.08E-02,296.336
44.979,-8.88E-03,296.243
45,6.04E-03,296.224
45.02,-5.53E-03,295.932
45.041,-4.31E-03,296.279
45.062,-2.08E-03,296.111
45.083,-2.23E-03,295.838
45.104,-9.13E-04,296.319
45.125,-2.35E-03,296.166
45.145,2.14E-03,295.947
45.166,-2.31E-03,295.857
45.187,-9.46E-03,295.837
45.208,-3.31E-03,295.83
45.229,-3.32E-03,295.871
45.25,-9.94E-04,295.851
45.27,-2.11E-03,295.774
45.291,-3.49E-03,295.649
45.312,-7.63E-04,295.979
45.333,3.47E-04,296.083
45.354,-4.38E-03,296.112
45.374,9.48E-03,296.384
45.395,-7.71E-03,296.76
45.416,-2.91E-03,296.936
45.437,-2.48E-02,297.392
45.458,3.53E-02,297.532
45.479,5.54E-02,298.091
45.499,-6.30E-02,298.603
45.52,1.64E-02,298.509
45.541,0.117522,298.532
45.562,-1.71E-02,298.495
45.583,-4.51E-03,299.161
45.604,-8.03E-03,299.556
45.624,1.08E-02,299.714
45.645,9.09E-02,299.338
45.666,8.89E-02,299.702
45.687,4.68E-02,299.628
45.708,8.82E-02,298.863
45.729,-6.15E-02,298.891
45.749,-2.10E-02,298.655
45.77,-0.369838,298.232
45.791,-1.03E-02,297.834
45.812,1.73E-02,297.251
45.833,3.28E-02,297.083
45.854,-4.56E-02,296.643
45.874,-1.18E-02,296.823
45.895,-2.07E-02,296.82
45.916,6.93E-02,296.633
45.937,-6.94E-02,296.614
45.958,-2.97E-02,296.524
45.979,-1.26E-02,296.438
46,3.89E-02,296.333
46.02,6.84E-02,296.573
46.041,-4.92E-03,296.831
46.062,-6.38E-03,297
46.083,-1.27E-02,297.017
46.104,-2.49E-03,296.029
46.125,1.48E-04,295.272
46.145,-7.73E-04,294.83
46.166,-2.99E-03,294.227
46.187,2.36E-03,294.181
46.208,-2.43E-03,294.962
46.229,1.80E-03,294.253
46.25,9.72E-04,294.531
46.27,-5.09E-04,294.706
46.291,2.45E-03,294.837
46.312,7.10E-03,295.255
46.333,4.07E-03,296.09
46.354,-2.21E-03,296.98
46.374,-1.16E-03,297.666
46.395,1.00E-02,298.624
46.437,-2.77E-03,299.979
46.458,-2.70E-03,300.819
46.479,-8.72E-03,302.339
46.499,-3.13E-03,303.696
46.52,-8.88E-03,304.262
46.541,-1.93E-02,305.119
46.562,1.33E-02,305.723
46.583,-3.15E-02,306.442
46.604,-0.379781,306.709
46.624,-6.10E-02,307.146
46.645,-4.12E-02,307.147
46.666,-2.51E-02,307.245
46.687,-1.20E-02,307.185
46.708,8.15E-02,307.436
46.729,-6.40E-02,307.584
46.749,-0.162649,306.899
46.77,0.209934,306.136
46.791,4.31E-02,305.034
46.812,4.27E-02,303.909
46.833,-4.40E-02,303.236
46.854,1.98E-02,302.326
46.874,0.198011,301.554
46.895,-0.376825,300.832
46.916,1.35E-02,300.242
46.937,-2.71E-02,299.772
46.958,6.46E-02,299.409
46.979,8.34E-02,299.111
47,-2.21E-02,298.827
47.02,-5.14E-02,298.552
47.041,-4.68E-02,298.448
47.062,-3.40E-03,298.312
47.083,6.78E-03,298.147
47.104,5.23E-03,298.102
47.125,4.51E-03,297.814
47.145,2.60E-03,297.41
47.166,-3.37E-03,297.087
47.187,3.33E-04,295.616
47.208,3.87E-03,293.926
47.229,1.10E-02,293.716
47.25,1.18E-02,293.058
47.27,-9.33E-04,293.006
47.291,-8.71E-03,292.338
47.312,-1.81E-03,292.319
47.333,-1.19E-03,295.611
47.354,-1.48E-02,297.442
47.374,-9.93E-03,298.771
47.395,1.94E-02,299.808
47.416,-2.88E-02,301.048
47.437,3.90E-03,302.133
47.458,-4.67E-03,303.148
47.479,5.68E-02,304.709
47.499,-4.04E-02,306.211
47.52,-0.119101,306.88
47.541,-4.24E-02,307.024
47.562,3.61E-02,307.964
47.604,-2.08E-02,308.443
47.624,-8.16E-02,308.435
47.645,-1.09E-02,308.89
47.666,6.10E-02,308.793
47.687,0.467098,309.428
47.708,0.115778,308.9
47.729,-5.90E-02,307.94
47.749,-8.92E-02,307.838
47.77,-3.80E-02,307.018
47.791,-4.05E-02,306.539
47.812,-0.101557,306.332
47.833,0.222905,305.55
47.854,1.39E-02,304.093
47.874,4.89E-02,302.551
47.895,-0.159229,301.648
47.916,-3.66E-02,301.144
47.937,-1.06E-02,300.647
47.958,6.88E-02,300.013
47.979,-5.60E-02,299.675
48,-2.97E-02,299.387
48.02,-5.75E-03,298.915
48.041,-2.43E-02,298.048
